index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PUB,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
1383,Kansas State University,0.0,9415.0,0.9591,15852.0,0,0,0,1,0,0
1397,Pittsburg State University,0.0,4634.0,0.7898,12040.0,0,0,0,1,0,0
1406,Washburn University,0.0,5262.0,0.7923,11215.0,0,0,0,1,0,0
1408,Wichita State University,0.0,5790.0,0.9576,13342.0,0,0,0,1,0,0
1428,Eastern Kentucky University,0.0,5757.0,0.6002,10496.0,0,0,0,1,0,0
1443,Kentucky State University,0.0,7858.0,0.3774,12299.0,0,0,0,1,0,0
1445,University of Kentucky,0.0,10316.0,0.6861,14333.0,0,0,0,1,0,0
1450,University of Louisville,0.0,10747.0,0.7112,13834.0,0,0,0,1,0,0
1456,Morehead State University,0.0,5386.0,0.8449,10439.0,0,0,0,1,0,0
1457,Murray State University,0.0,7185.0,0.8217,9600.0,0,0,0,1,0,0
1459,Northern Kentucky University,0.0,8624.0,0.467,8753.0,0,0,0,1,0,0
1482,Western Kentucky University,0.0,7278.0,0.9232,10470.0,0,0,0,1,0,0
1502,Grambling State University,0.0,4270.0,0.4363,14501.0,0,0,0,1,0,0
1509,Louisiana State University and Agricultural & Mechanical College,0.0,8813.0,0.7623,11610.0,0,0,0,1,0,0
1511,Louisiana State University-Shreveport,0.0,3410.0,0.8349,7436.0,0,0,0,1,0,0
1518,Louisiana Tech University,0.0,5871.0,0.6744,9283.0,0,0,0,1,0,0
1520,McNeese State University,0.0,4070.0,0.6151,8515.0,0,0,0,1,0,0
1521,University of New Orleans,0.0,7042.0,0.5036,9012.0,0,0,0,1,0,0
1522,Nicholls State University,0.0,4893.0,0.8694,9660.0,0,0,0,1,0,0
1523,University of Louisiana at Monroe,0.0,5286.0,0.7724,7568.0,0,0,0,1,0,0
1526,Northwestern State University of Louisiana,0.0,5198.0,0.84,8224.0,0,0,0,1,0,0
1541,Southeastern Louisiana University,0.0,4439.0,0.448,9493.0,0,0,0,1,0,0
1542,Southern University and A & M College,0.0,4459.0,0.359,14241.0,0,0,0,1,0,0
1543,Southern University at New Orleans,0.0,8167.0,0.4888,8474.0,0,0,0,1,0,0
1545,University of Louisiana at Lafayette,0.0,5074.0,0.593,8478.0,0,0,0,1,0,0
1563,University of Maine at Farmington,0.0,6917.0,0.837,14764.0,0,0,0,1,0,0
1566,University of Maine,0.0,9599.0,0.8106,16831.0,0,0,0,1,0,0
1567,Maine Maritime Academy,0.0,15845.0,0.6536,19687.0,0,0,0,1,0,0
1576,University of Southern Maine,0.0,9033.0,0.828,17300.0,0,0,0,1,0,0
1588,University of Baltimore,0.0,10352.0,0.7295,16780.0,0,0,0,1,0,0
1589,Bowie State University,0.0,4608.0,0.5176,12962.0,0,0,0,1,0,0
1595,Coppin State University,0.0,1347.0,0.355,10328.0,0,0,0,1,0,0
1599,Frostburg State University,0.0,4987.0,0.5945,17123.0,0,0,0,1,0,0
1615,University of Maryland-Baltimore County,0.0,8524.0,0.6315,18539.0,0,0,0,1,0,0
1616,University of Maryland-College Park,0.0,11198.0,0.4699,16299.0,0,0,0,1,0,0
1618,University of Maryland Eastern Shore,0.0,4159.0,0.5502,14511.0,0,0,0,1,0,0
1622,Morgan State University,0.0,5394.0,0.5757,14502.0,0,0,0,1,0,0
1631,Salisbury University,0.0,5967.0,0.5494,16888.0,0,0,0,1,0,0
1632,St Mary's College of Maryland,0.0,12390.0,0.7204,20616.0,0,0,0,1,0,0
1636,Towson University,0.0,6494.0,0.6034,16133.0,0,0,0,1,0,0
1668,Bridgewater State University,0.0,7711.0,0.786,17477.0,0,0,0,1,0,0
1690,Fitchburg State University,0.0,6004.0,0.7211,12849.0,0,0,0,1,0,0
1691,Framingham State University,0.0,5825.0,0.5167,17552.0,0,0,0,1,0,0
1712,University of Massachusetts-Lowell,0.0,11192.0,0.6397,16351.0,0,0,0,1,0,0
1716,University of Massachusetts-Amherst,0.0,11566.0,0.6294,19087.0,0,0,0,1,0,0
1717,University of Massachusetts-Boston,0.0,12102.0,0.7141,11741.0,0,0,0,1,0,0
1720,Massachusetts College of Art and Design,0.0,11458.0,0.6982,21058.0,0,0,0,1,0,0
1722,Massachusetts Maritime Academy,0.0,8929.0,0.7726,16546.0,0,0,0,1,0,0
1745,Massachusetts College of Liberal Arts,0.0,5558.0,0.672,14837.0,0,0,0,1,0,0
1759,Salem State University,0.0,6709.0,0.6929,15420.0,0,0,0,1,0,0
1767,University of Massachusetts-Dartmouth,0.0,9535.0,0.7213,17092.0,0,0,0,1,0,0
1775,Westfield State University,0.0,7287.0,0.7487,16558.0,0,0,0,1,0,0
1780,Worcester State University,0.0,6291.0,0.6062,14402.0,0,0,0,1,0,0
1798,Central Michigan University,0.0,9329.0,0.6304,15457.0,0,0,0,1,0,0
1814,Eastern Michigan University,0.0,9158.0,0.6398,12449.0,0,0,0,1,0,0
1815,Ferris State University,0.0,9574.0,0.759,14010.0,0,0,0,1,0,0
1824,Grand Valley State University,0.0,9810.0,0.826,16243.0,0,0,0,1,0,0
1837,Lake Superior State University,0.0,6843.0,0.9183,11522.0,0,0,0,1,0,0
1845,University of Michigan-Ann Arbor,0.0,20769.0,0.3326,16287.0,0,0,0,1,0,0
1847,Michigan State University,0.0,15767.0,0.6865,16507.0,0,0,0,1,0,0
1848,Michigan Technological University,0.0,12730.0,0.7659,14446.0,0,0,0,1,0,0
1849,University of Michigan-Dearborn,0.0,10945.0,0.6284,9800.0,0,0,0,1,0,0
1850,University of Michigan-Flint,0.0,9811.0,0.7809,12493.0,0,0,0,1,0,0
1860,Northern Michigan University,0.0,7488.0,0.7313,13028.0,0,0,0,1,0,0
1865,Oakland University,0.0,9411.0,0.66,11665.0,0,0,0,1,0,0
1873,Saginaw Valley State University,0.0,7793.0,0.7865,14049.0,0,0,0,1,0,0
1887,Wayne State University,0.0,9162.0,0.7624,12674.0,0,0,0,1,0,0
1889,Western Michigan University,0.0,10693.0,0.8285,17322.0,0,0,0,1,0,0
1900,Bemidji State University,0.0,4881.0,0.6678,13893.0,0,0,0,1,0,0
1929,Minnesota State University-Mankato,0.0,5622.0,0.6555,14161.0,0,0,0,1,0,0
1935,Metropolitan State University,0.0,4929.0,1.0,12314.0,0,0,0,1,0,0
1936,University of Minnesota-Twin Cities,0.0,11069.0,0.4455,17208.0,0,0,0,1,0,0
1944,University of Minnesota-Duluth,0.0,8284.0,0.7822,17047.0,0,0,0,1,0,0
1948,Minnesota State University-Moorhead,0.0,5136.0,0.8911,14430.0,0,0,0,1,0,0
1966,Saint Cloud State University,0.0,5008.0,0.8691,14130.0,0,0,0,1,0,0
