index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PRIV,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
6716,ITT Technical Institute-Tallahassee,0.0,18769.0,0.8388,25024.0,1,0,0,0,0,3
6717,ITT Technical Institute-Salem,0.0,16927.0,0.8388,22757.0,1,0,0,0,0,3
6718,ITT Technical Institute-Akron,0.0,20267.0,0.8388,23429.0,1,0,0,0,0,3
6720,ITT Technical Institute-Corona,0.0,17415.0,0.8388,22631.0,1,0,0,0,0,3
6721,ITT Technical Institute-Johnson City,0.0,23392.0,0.8388,20401.0,1,0,0,0,0,3
6722,ITT Technical Institute-DeSoto,0.0,20303.0,0.8388,22793.0,1,0,0,0,0,3
6723,ITT Technical Institute-North Charleston,0.0,17081.0,0.8388,22292.0,1,0,0,0,0,3
6756,Concorde Career Institute-Dallas,0.0,10504.0,1.0,20313.0,1,0,0,0,0,3
6757,Concorde Career Institute-Orlando,0.0,8116.0,1.0,20090.0,1,0,0,0,0,3
6758,Concorde Career Institute-San Antonio,0.0,12453.0,1.0,19796.0,1,0,0,0,0,3
6759,Ecotech Institute,0.0,21481.0,1.0,18523.0,1,0,0,0,0,3
6789,Tribeca Flashpoint Media Arts Academy,0.0,20976.0,0.7375,35422.0,1,0,0,0,0,3
6792,Virginia College-Baton Rouge,0.0,21422.0,1.0,16371.0,1,0,0,0,0,3
6798,Virginia College-Macon,0.0,22058.0,1.0,11660.0,1,0,0,0,0,3
6799,Virginia College-Spartanburg,0.0,26135.0,1.0,16042.0,1,0,0,0,0,3
6805,Virginia College-Richmond,0.0,19465.0,1.0,2878.0,1,0,0,0,0,3
6897,Colorado Academy of Veterinary Technology,0.0,7252.0,0.8,21211.0,1,0,0,0,0,3
6918,ITT Technical Institute-Durham,0.0,13580.0,0.8388,23646.0,1,0,0,0,0,3
6930,ITT Technical Institute-Oakland,0.0,15640.0,0.8388,24083.0,1,0,0,0,0,3
6934,Carrington College California-Pomona,0.0,11599.0,0.7226,18259.0,1,0,0,0,0,3
6965,Harrison College-Morrisville,0.0,16328.0,1.0,19518.0,1,0,0,0,0,3
7003,ITT Technical Institute-Bradenton,0.0,18526.0,0.8388,24898.0,1,0,0,0,0,3
7004,ITT Technical Institute-Phoenix West,0.0,17270.0,0.8388,23764.0,1,0,0,0,0,3
7005,ITT Technical Institute-Brooklyn Center,0.0,14337.0,0.8388,24082.0,1,0,0,0,0,3
7006,ITT Technical Institute-Orlando,0.0,15930.0,0.8388,24168.0,1,0,0,0,0,3
7007,ITT Technical Institute-Waco,0.0,17212.0,0.8388,24154.0,1,0,0,0,0,3
7008,ITT Technical Institute-Myrtle Beach,0.0,13827.0,0.8388,22499.0,1,0,0,0,0,3
7010,Azusa Pacific Online University,1.0,7136.0,0.7985,16569.0,1,0,0,0,0,3
7040,Virginia College-Savannah,0.0,21905.0,1.0,14922.0,1,0,0,0,0,3
7041,Virginia College-Columbus,0.0,19490.0,1.0,1627.0,1,0,0,0,0,3
7095,Golf Academy of America-Farmers Branch,0.0,15738.0,1.0,21542.0,1,0,0,0,0,3
7177,ITT Technical Institute-West Palm Beach,0.0,11211.0,0.8388,22001.0,1,0,0,0,0,3
7179,ITT Technical Institute-Indianapolis East,0.0,11423.0,0.8388,24751.0,1,0,0,0,0,3
7195,South University-Cleveland,0.0,14995.0,0.4829,23948.0,1,0,0,0,0,3
7204,Mercyhurst University-North East Campus,0.0,13079.0,0.7536,13405.0,1,0,0,0,0,3
